user_id_numfix,user_id,screen_name,bio,withheld_category,withheld_in_countries,withheld_ever,followers_count,following_count,signup_date,first_observed
'14613185,14613185,iEvolutiOne,Gab- iEvolutiOne #Anon3R #G8Links #AntiGentilism #BolshevismV2 #CohenCidence #EchelonA21 #HHX6 #JewZLM #LiesOfTheFlies #STZJCraP #SW4AQW #W2Causality #ZOGsNWO,withheld,DE,DE,8738,8894,2008-05-01,2017-10-02
'17232910,17232910,sechapman,"#SouthernPresbyterians My only allegiances are to Christ, His Church, my Kin, and my Southern Nation",not_withheld,,DE,1659,3223,2008-11-07,2017-10-02
'19063025,19063025,sondakika_haber,Bizi takip edin haberiniz olsun! #SonDakika #Haber #Gündem #Analiz,withheld,TR,TR,42452,21,2009-01-16,2017-10-02
'19813934,19813934,erdemgurkan71,Vicdanın yansıması... Eğriye eğri... Doğruya doğru...,withheld,TR,TR,46106,150,2009-01-31,2017-10-02
'22356335,22356335,Salzig2010,ich bin #burkaphob. im urlaub hier burkinifreie zone. herrlich.,withheld,DE,DE,222,347,2009-03-01,2017-10-02
'24661826,24661826,spreelichter,Wir sind verboten. Na und?,withheld,DE,DE,760,41,2009-03-16,2017-10-02
'28955986,28955986,denizincoplugu,denizmistepe design&art space * conceptual designer * creative director * columnist * professionaly photography & music * https://t.co/sUW1uXAUXq * BE COOL +,withheld,TR,TR,5704,315,2009-04-05,2017-10-02
'35454721,35454721,hizbuttahrir,Questions from academics and journalists can be sent to info@hizb.org.uk,withheld,RU,RU,13890,12,2009-04-26,2017-10-16
'37020028,37020028,VeryNiceNAZI,"Nationalist Anti-Zionis✞ Independent 卐 NAZI 卐 NonViolent🙋🏼PROSECUTE #WARMONGERS, WAR/WEAPONS PROFITEERS. REFUSE ENGINEERED, WEAPONIZED, MASS MIGRATION!",inactive,DE + FR,DE + FR,15710,12032,2009-05-01,2017-10-02
'41401513,41401513,mediaa,المكتب الإعلامي لحزب التحرير.,withheld,RU,RU,8094,40,2009-05-20,2017-10-16
'43848543,43848543,mfgulen,Fethullah Gülen: Understanding and Respect,withheld,TR,TR,21430,0,2009-06-01,2017-10-03
'45913755,45913755,sws7679,,withheld,DE,DE,26,643,2009-06-09,2017-10-02
'45961851,45961851,DHOLMES59,Billionaire Biker,withheld,FR,FR,82,134,2009-06-09,2017-10-02
'46072242,46072242,veyhann,Arşiv hesabı / by Alp Tecin,withheld,TR,TR,27446,714,2009-06-10,2017-10-02
'47041626,47041626,kerimgun,GAZETECİ - JOURNALIST - Hasbinallahi Ve Nimel Vekil,withheld,TR,TR,68723,550,2009-06-14,2017-10-03
'47063293,47063293,Saphy89,Pups!,withheld,DE,DE,340,133,2009-06-14,2017-12-08
'47624310,47624310,Dave_88_,English nationalist supporter of my people and the people of Europe,withheld,DE,DE,3617,2463,2009-06-16,2017-10-02
'47952127,47952127,Asylnachrichten,Pressespiegel zur Migration.,withheld,DE,DE,3049,3591,2009-06-17,2017-10-02
'48304732,48304732,Rojava____,"n.#Syria #Democratic Confederalism To establish #justice, #freedom & #Women rights in accordance with the principle of #ecological balance and #equality",withheld,TR,TR,2502,2855,2009-06-18,2017-10-03
'49946953,49946953,Hevallo,Kurdistan Solidarity Campaign Mark@KurdistanSolidarityCampaign.org,withheld,TR,TR,49182,7019,2009-06-23,2017-10-03
'50797952,50797952,pepperm4n,writing mostly about Kurdistan. block on the spot daesh/al qaeda/Akp trolls.,withheld,TR,TR,14242,849,2009-06-25,2017-10-02
'52871121,52871121,Thewoolluff,"ABCD CATG, we are all machines powered by our Sun",withheld,DE,DE,48,27,2009-07-01,2017-10-20
'53842150,53842150,SiegHeilAmerica,Leader of the NAZI party and bringing socialism to America. Submit your favorite socialists. Seig Heil America!,media_violation,everywhere,DE,312,3,2009-07-05,2017-10-02
'54581571,54581571,berxwedan,,withheld,TR,TR,57,340,2009-07-07,2017-10-03
'55931558,55931558,HiwaDilan92,Rojnamevan/Journalist/Gazeteci/رۆژنامەوان,inactive,TR,TR,13130,483,2009-07-11,2017-10-03
'57734851,57734851,NJ_Joe_14,"Bible believing Protestant Christian, and opposed to Political Islam. MAGA !",withheld,DE,DE,4706,4663,2009-07-17,2017-10-02
'61571074,61571074,busra_erdal,"yamanlar&malhunhatun koleji,mekteb-i hukuk(istanbul),avukat & gazeteci..her şeyde bir hikmet var...alp'ini çok özlüyor ve hep özleyecek...",withheld,TR,TR,66339,503,2009-07-30,2017-10-03
'63098067,63098067,d3IiI0yI0y,Gökyüzünü bilmem ama dağlar bizimdir!,withheld,TR,TR,4639,904,2009-08-05,2017-10-03
'66732993,66732993,hizmet_news,"Latest news, columns, opinions and interviews on Fethullah Gülen and the Hizmet Movement, also known as the Gülen Movement",withheld,TR,TR,5153,103,2009-08-18,2017-10-02
'68770294,68770294,pornoeule,Twitter ich ficke deine Kinder wund,withheld,DE,DE,474,204,2009-08-25,2017-10-03
'75276840,75276840,Janlynn88,National-Socialists express the view that a person should be proud of their own culture and heritage. No white guilt. Pro-Gentile.,inactive,DE + FR,DE + FR,2866,2434,2009-09-18,2017-10-02
'82613482,82613482,derasachasauda,Confluence of All Religions - A Socio-Spiritual organization that preaches & practices humanitarianism and selfless services to the society.,withheld,IN,IN,363565,1,2009-10-15,2017-10-04
'83669126,83669126,Amed_Ibo_Kurd,Türk devleti bu hesabımı bloklamış. Yeni hesabım @AmedIboKurde,inactive,TR,TR,1544,262,2009-10-19,2017-10-03
'85609142,85609142,kurdokurmanco,..,withheld,TR,TR,394,129,2009-10-27,2017-10-04
'86665649,86665649,SohbetCananAnne,"Ne yapıp, ne edip her sözü erkân-ı imaniyeye, Sohbeti Canan'a getirmeli. Kısacası, ‘Allah’a ve ahiret gününe inanan kimse ya hayr konuşsun ya da sussun.'",withheld,TR,TR,208780,230,2009-11-01,2017-10-02
'87534715,87534715,fgulenforum,For a better understanding,withheld,TR,TR,733,2,2009-11-04,2017-10-03
'88014940,88014940,fknpwned,This account has been withheld in: Germany.,withheld,DE,DE,53,15,2009-11-06,2017-12-08
'90579718,90579718,zdlite,,withheld,DE,DE,46,46,2009-11-17,2017-10-02
'92460378,92460378,yagizefe,Writer and journalist (Gazeteci-Yazar) Facebook https://t.co/7uSmOmsfVx fuatbaran01@gmail.com Destekleriniz için https://t.co/1t1t05Dx3b,withheld,TR,TR,93604,2444,2009-11-25,2017-10-02
'93399809,93399809,HTmediaPAK,"Media Office Hizb ut-Tahrir Pakistan. A Global Political Leadership, Complete Documentary in URDU. Part-1 https://t.co/9ZnAlK5kkp Part-2 https://t.co/46LPrEwn07",withheld,RU,RU,7099,21,2009-11-29,2017-10-16
'94900489,94900489,diyarhaber,Amed,withheld,TR,TR,7099,5196,2009-12-06,2017-10-03
'96360512,96360512,flumengo,#AÖ,withheld,TR,TR,2973,4029,2009-12-12,2017-10-03
'98250867,98250867,SonVesayet,https://t.co/0Qo5X0dMHB,withheld,TR,TR,201933,406,2009-12-21,2017-10-02
'99295348,99295348,Ceritm,Hoofdredacteur / Editor in Chief @deKanttekening |Twittert over #NieuweNederlanders #Turkije #Islam in NL #MiddenOosten | YouTube: https://t.co/Jn5wLAyOsw,withheld,TR,TR,6520,2517,2009-12-25,2017-10-02
'100283173,100283173,TheNaziParty,Official Twitter Of The Nazi Party,media_violation,everywhere,DE,2091,37,2009-12-29,2017-10-02
'102645247,102645247,vicdanhareketi_,,withheld,TR,TR,146693,475,2010-01-07,2017-10-03
'105181037,105181037,Aubimed,Please Follow: @Aubimed_,withheld,DE,DE,1128,1001,2010-01-15,2017-10-10
'107984182,107984182,Herkul_Nagme,Bu sayfa diktatörlük tarafından Türkiye’de engellenmiştir. Mesajlarımızı https://t.co/QROXBqBCGC üzerinden takip edebilirsiniz.,withheld,TR,TR,281023,2,2010-01-24,2017-10-02
'108722820,108722820,ROJAVA_,Istanbul,withheld,TR,TR,33909,20980,2010-01-26,2017-10-03
'108902130,108902130,sosyalistforum,"Sosyalistforum ; Komünizm Kültürü ve Devrimci Dayanışma Platformu'dur şoven ırkçı milliyetçi militarist dogmatik, cinsiyetçi ifadelere forumumuzda yer yoktur.",withheld,TR,TR,3339,2493,2010-01-27,2017-10-03
'110765613,110765613,Veritas_1917,Örgütlenmeden mevcuttaki pratiklerini güclendirmeden yazdıkların ancak bir twit ötesi......... #Veritas @Veritas_1917 bana ait yedek hesaptır..,withheld,TR,TR,10468,742,2010-02-02,2017-10-03
'111437703,111437703,coolspotter,#ATATÜRK #MKATC #TC1919 #ULUS #ÖnceVatan RT destek değil 2.hesap @coolspotter001 Mühendis Takipçi takip edilir AKP-PKK F uzak! NE MUTLU TÜRKÜM DİYENE ☾✰,withheld,TR,TR,13618,19141,2010-02-04,2017-10-04
'113289725,113289725,NW_Bln_Brbg,,withheld,DE,DE,1000,488,2010-02-11,2017-10-02
'115550802,115550802,_AdolfHitler_,,withheld,DE + FR,DE + FR,6795,1,2010-02-19,2017-10-02
'118082418,118082418,zentralversand,,withheld,DE,DE,436,655,2010-02-27,2017-10-02
'118667011,118667011,dijwarsperti_,"Gerîlla Hez, Pêşmerge Hez. Bijî PKK. Bimre Koledar, Bijî Kurdistan! ➡️Başka bir hesabım yok ⬅",withheld,TR,TR,2901,927,2010-03-01,2017-10-03
'119183782,119183782,bekirsalim,"Şair, ressam (öyle diyorlar), musikişinas., Hizmet edenleri çok seven biri. (Şahsen tanıdıklarım hariç lütfen DM gönderilmesin.) https://t.co/lhgHGCSoxD",withheld,TR,TR,65037,2446,2010-03-02,2017-10-02
'122317808,122317808,TeRCaLL_,This account has been withheld in: Turkey.,withheld,TR,TR,160,336,2010-03-12,2017-10-03
'123983561,123983561,stopislam,,withheld,FR,FR,89,0,2010-03-17,2017-10-16
'125023898,125023898,fatihakalan,Gazeteci/Journalist,withheld,TR,TR,96624,1092,2010-03-21,2017-10-02
'126758373,126758373,emrecelikrumi,"▪President @RumiForum ▪“Your task is not to seek for love, but merely to seek and find all the barriers within yourself that you have built against it.” #Rumi",withheld,TR,TR,19713,21247,2010-03-26,2017-10-02
'129018139,129018139,UthmanB,"Writer | Activist | Student of Philosophy, Economics, Arabic & Islamic sciences | Work with Hizb ut-Tahrir Australia.",withheld,RU,RU,7606,101,2010-04-02,2017-10-16
'131121640,131121640,mirebotan84,..,withheld,TR,TR,14349,3867,2010-04-09,2017-10-03
'131139720,131139720,saelliott00,,withheld,DE,DE,633,1623,2010-04-09,2017-10-02
'137333571,137333571,TheNobleWolf,The Noble Wolf,media_violation,everywhere,DE,456,122,2010-04-26,2017-10-02
'139070462,139070462,Denge_Kurdistan,Ji Serxwebûn û Azadiyê bi Rûmettir Tiştek Nîne...,inactive,TR,TR,36975,579,2010-05-01,2017-10-03
'141641311,141641311,Orhanakkurt,Journalist. Tweets/Follows/Retweets ≠ endorsement My account has been withheld in Turkey #humanrights https://t.co/81AEgExWOD,withheld,TR,TR,6143,928,2010-05-08,2017-10-02
'143849280,143849280,whoisGulen,"This website provides the best and the most accurate information about Fethullah Gulen, the Gulen Movement and Gulen-Inspired Schools.",withheld,TR,TR,10951,19,2010-05-14,2017-10-02
'147360227,147360227,THASSLUND,,withheld,DE,DE,161,138,2010-05-23,2017-10-02
'147528633,147528633,SonKarakol_TR,"Celladına aşık olmuşsa bir millet. İster ezan, ister çan dinlet . İtiraz etmiyorsa sürü gibi illet. Müstehaktır ona her türlü zillet. ÖMER HAYYAM",withheld,TR,TR,48285,402,2010-05-24,2017-10-02
'148903549,148903549,HizbutTahrirNL,,withheld,RU,RU,6125,17,2010-05-27,2017-10-16
'149800990,149800990,yelazar,"672 KHK'lı. [Gurur duyuyorum.] 🌱Tomurcuk derdinde olmayan ağaç odundur. 📢Diplomasız, tescilli malum hırsız hesabımı Türkiye'den erişime kapattı!",withheld,TR,TR,6666,2160,2010-05-30,2017-10-02
'152418169,152418169,Kotzfrosch,gay Masku makePornGreatAgain|kein selbsthassender Deutscher gottloserStaat #Laizismus |Kant Humboldt-Bildungsideal |Dawkins Atheist |magNiemanden |#ehefueralle,withheld,DE,DE,1329,1744,2010-06-05,2017-10-02
'152852932,152852932,ANP14,The American Nazi Party is America's premier 21st Century National Socialist Organization. Follow our backup: https://t.co/Ia6cdJmqfo,inactive,DE + FR,DE + FR,13338,713,2010-06-07,2017-10-02
'158758716,158758716,gulenblog,"Fethullah Gulen Blog is an active blog where most recent news about Fethullah Gulen, the Gulen Movement and Gulen-inspired Schools are posted.",withheld,TR,TR,20899,44,2010-06-23,2017-10-02
'160015617,160015617,bloodandhonour,Blood and Honour / Blut und Ehre,inactive,DE,DE,35,62,2010-06-26,2017-10-16
'161600597,161600597,bowandriver,"*** Siz ne yaptınız ki Allah size böyle hazineler lûtfedecek. Allah'ın size vereceği lûtufları bilseydiniz, geceleri uyku uyuyamazdınız.",withheld,TR,TR,780,2078,2010-07-01,2017-10-02
'162514125,162514125,DEMZEM,This account has been withheld in: Turkey.,withheld,TR,TR,18601,288,2010-07-03,2017-10-03
'172001193,172001193,NaziChile,EL AMOR POR MI NACIÓN ME DA LA FUERZA PARA SEGUIR LUCHANDO NACIONAL SOCIALISMO CHILE,withheld,DE,DE,1119,838,2010-07-28,2017-10-02
'179130623,179130623,ercankarakoyun,"Vorsitzender der Stiftung Dialog und Bildung, ehem. Stipendiat der Friedrich-Ebert-Stiftung, Stadtsoziologe, Kuratoriumsmitglied des House of One.",withheld,TR,TR,4357,633,2010-08-16,2017-10-02
'180113275,180113275,imsezgin,"Dr&Director of @HizmetStudies Hizmet mov, Gulen, religion, politics&extremism https://t.co/GPmrZSNHpy https://t.co/aUmRLHxZyh",withheld,TR,TR,12769,936,2010-08-18,2017-10-02
'182112983,182112983,ProudWhiteWoman,18. Traditionalist | Tribalist | Ruralist | Pagan,inactive,DE,DE,113749,826,2010-08-23,2017-10-03
'189573798,189573798,Hakenkreuz_1935,,withheld,DE,DE,6,18,2010-09-11,2017-12-08
'189935217,189935217,CyberPunkHitler,[Ultra-Nationalist/Nativist],withheld,DE,DE,761,676,2010-09-12,2017-10-02
'191409094,191409094,HIZBua,"Хизб ут-Тахрир - политическая партия, основанная на принципах Ислама. Ее деятельностью является политика, а основой - Ислам. Наш твіттер українською @HTukraine",withheld,RU,RU,442,66,2010-09-16,2017-10-16
'192768731,192768731,erkamtufan,Gazeteci Erkam Tufan'la 30 Dakika Programı https://t.co/pM84VaW1KP,withheld,TR,TR,110350,1438,2010-09-20,2017-10-02
'193658840,193658840,csagir2014,,withheld,TR,TR,36934,499,2010-09-22,2017-10-03
'197727842,197727842,nuxebat,This account has been withheld in: Turkey.,inactive,TR,TR,457,380,2010-10-02,2017-10-03
'197936403,197936403,Sterktv01,Televizyona Kurdî-Kurdish television... Bi hemû zaraveyên zimanê kurdî weşan dike..Tenê bi kurdî...,inactive,TR,TR,87349,7,2010-10-02,2017-10-03
'198436154,198436154,RainMan1997,"Mülaane: Bu vatana ihanet ettiysek Allah belamızı versin. Ama yok etmediysek, ettiniz diyenlerin Allah belasını versin. Âmin! Sıkıyorsa onlar da Âmin desin!",withheld,TR,TR,1359,34,2010-10-04,2017-10-03
'200115775,200115775,ekremdumanli,"Gazeteci/ Journalist/ [For my English account, follow @DumanliEkrem] https://t.co/yY62v7xCfN",withheld,TR,TR,540889,49,2010-10-08,2017-10-02
'203394708,203394708,LolloGamischi,Gegen lasche Richter und vor allem Merkels Asylpolitik.,withheld,DE,DE,165,92,2010-10-16,2017-10-03
'207398891,207398891,DontMathWithMe,"Mülaane: Bu vatana ihanet ettiysek Allah belamızı versin. Ama yok etmediysek, ettiniz diyenlerin Allah belasını versin. Âmin! Sıkıyorsa onlar da Âmin desin!",withheld,TR,TR,8024,91,2010-10-25,2017-10-02
